No.,Nama,Alamat,Negeri,Daerah,No. Tel,Fax
6179,MASJID DATUK PATINGGI HAJI ABDUL RAHMAN YAAKUB (TA,"KAMPUNG SADONG JAYA (PENDAM), SADONG JAYA, SAMARAHAN, SARAWAK",SARAWAK,ASA JAYA,,
6180,Masjid darul taqwa,"jalan bahoung, balingian",SARAWAK,MUKAH,,
6181,MASJID DARUL MAKMUR (TANPA JUMAAT),"KAMPUNG PELANDOK LAUT, SADONG JAYA, SAMARAHAN, SARAWAK",SARAWAK,ASA JAYA,,
6182,masjid nur iman,kampung kuala balingian,SARAWAK,MUKAH,,
6183,masjid darul falah,"kampung penat, oya",SARAWAK,DALAT,,
6184,Masjid Darul Ibadah,Kampung Rudan Padawan,SARAWAK,PADAWAN,019-8989227,
6185,Masjid Ar-Rahman Kompleks TH Pelita Gedong,TH PELITA GEDONG SDN BHD,SARAWAK,GEDONG,,
6186,Masjid Darul Akmal,"bandar baru Semariang,kuching",SARAWAK,KUCHING,,
6187,Masjid Nurul Khair,"Lot 74, Lorong 2A, Kampung Semariang Batu, Petra Jaya, Kuching",SARAWAK,KUCHING,,
6188,MASJID DARUL HIJRAH,"KAMPUNG KUHOM, TEBEDU, SARAWAK.",SARAWAK,SERIAN,,
6189,Masjid Darul Husnul Khatimah,"Lot 1005 , Kpg Semerah Padi Fasa 1, Jalan Cenderawasih , Petra Jaya, Kuching",SARAWAK,KUCHING,,
6190,MASJID AL FALAH,"KAMPUNG ENSEBANG KUARI, SERIAN, SARAWAK.",SARAWAK,SERIAN,,
6191,Masjid Darul Ibadah,"MJC, Batu Kawa",SARAWAK,PADAWAN,,
6192,Masjid Darul Naim,Kompleks Angkatan Penguatkuasan Maritim Malaysia,SARAWAK,KUCHING,,
6193,MASJID RIADZUSYALIHIN (LAMA),"KAMPUNG SEMERA, SADONG JAYA, SAMARAHAN, SARAWAK",SARAWAK,ASA JAYA,,
6194,MASJID ANNAASYIIEN,"SMK PESANTREN ABDUL TAIB MAHMUD, SADONG JAYA, SAMARAHAN, SARAWAK",SARAWAK,ASA JAYA,,
6195,Masjid Al-Muhajirin,"Masjid Al-Muhajirin, Kampung paya Mebi, Jalan landeh, Kota Padawan,93250 Kuching Sarawak",SARAWAK,PADAWAN,133086935,
6196,MASJID DATUK AMAR HAJI ABDUL TAIB MAHMUD (LAMA/TAN,"KAMPUNG JAIE, SADONG JAYA, SAMARAHAN, SARAWAK",SARAWAK,ASA JAYA,,
6197,MASJID AL-GAYAUWI,"MASJID AL-GAYAUWI, KAMPUNG GAYAU JASA PANTU, SRI AMAN, SARAWAK",SARAWAK,SRI AMAN,,
6198,MASJID ASY-SYAKIRIN,KEM PAKIT SRI AMAN,SARAWAK,SRI AMAN,,
6199,MASJID LAMA,KAMPUNG TENGAH SRI AMAN,SARAWAK,SRI AMAN,013-5682579,
6200,MASJID AL-MUQARRABIN,"SPAD LADANG TIGA NIAH,",SARAWAK,SUBIS,,
6201,"Masjid Darul Hana, seberang hilir, kuching","SEBERANG HILIR, petrajaya, KUCHING",SARAWAK,KUCHING,,
6202,MASJID AL-FALAH,"MASJID AL-FALAH, JAONG JAYA, PANTU 95000 SRI AMAN, SARAWAK",SARAWAK,SRI AMAN,,
6203,masjid jamek mukah,"kampung datu, mukah",SARAWAK,MUKAH,,
6204,masjid tunku haji bujang,"kampung masjid, balingian",SARAWAK,MUKAH,,
6205,masjid nurul sa'adah,"kampung brunei, dalat",SARAWAK,DALAT,,
6206,"MASJID AL-FALAH, JALAN KEBUN","JLN HAJI YAHYA, QARIAH HAJI ABU BAKAR JALAN KEBUN, 42450 KLANG.",SELANGOR,KLANG,016-6757756,
6207,"masjid imam hj kahar kompleks pusat islam, rantau",pekan rantau,N. SEMBILAN,SEREMBAN,,
6208,MASJID DARUL ULUM,"JALAN MP24,KAMPUNG MATANG PAGAR",SELANGOR,GOMBAK,,
6209,MASJID AN-NUR GLENMARIE,"1-3N, JALAN PERINTIS U1/52, KAWASAN PERINDUSTRIAN TEMASYA",SELANGOR,PETALING,123425951,
6210,MASJID AL-QUDDUS,"JALAN PP22, TAMAN PINGGIRAN PUTRA,SERI KEMBANGAN",SELANGOR,PETALING,192181297,
6211,MASJID BANDAR SERI PUTERA,"BANDAR SRI PUTRA,43000 KAJANG",SELANGOR,HULU LANGAT,,
6212,MASJID KAMPUNG JOHAN SETIA,"KAMPUNG JOHAN SETIA, KM 8, JALAN LANGAT41200 KLANG",SELANGOR,KLANG,012-3025673,03-5167574
6213,masjid nurul taqwa kg.sangkir,kampung sangkir kota belud,SABAH,PBU - KOTA BELUD,138975501,
6214,MASJID AT-TAQWA RUMAH RAKYAT KULAI,"LORONG MANGGIS,RUMAH RAKYAT,KULAI,JOHOR.",JOHOR,KULAI,017-5213343,
6215,MASJID AL-ANSAR,"PULAU LIBARAN, SANDAKAN.",SABAH,SAN - SANDAKAN,,
6216,MASJID NOOR AL-LAILY,"KAMPUNG SHING KEE, BANDAR LEILA, JALAN BATU SAPI, SANDAKAN.",SABAH,SAN - SANDAKAN,,
6217,MASJID SYEIKH ABDUL QADIR JAILANI,"TAMAN MELANTA, PASIR PUTIH, JALAN BATU SAPI, SANDAKAN",SABAH,SAN - SANDAKAN,,
6218,MASJID AS-SYAKIRIN TAMAN TINOSAN,"TAMAN TINOSAN, BATU 4 1/2, SANDAKAN.",SABAH,SAN - SANDAKAN,,
6219,MASJID AS-SOHABAH,TAMAN PERMATA JALAN SIBUGA BATU 8 SANDAKAN,SABAH,SAN - SANDAKAN,,
6220,masjid AL-AQSA,"TAMAN SERI LABUK, JALAN KAMPUNG MELAYU",SABAH,SAN - SANDAKAN,,
6221,MASJID DATUK HJ BASRAH,PPR RANCANGAN SUNGAI MANILA BATU 12 SANDAKAN,SABAH,SAN - SANDAKAN,,
6222,"MASJID AL-HIDAYAH, MERBAU KUDUNG",KAMPUNG MERBAU KUDUNG,KEDAH,SIK,,
6223,MASJID AL JAMAAH,KAMPUNG BIAU BONGAWAN,SABAH,PBS - PAPAR,,
6224,masjid As-Syakirin,Taman tinosan batu 4 sandakan,SABAH,SAN - SANDAKAN,,
6225,masjid Al-ansar,Kampung pulau libaran sandakan,SABAH,SAN - SANDAKAN,,
6226,masjid Khairat as syeikh abdul qadir al jailani,Taman melanta,SABAH,SAN - SANDAKAN,,
6227,MASJID Saidina uthman ibnu affan,Ppr Taman harmoni batu 3,SABAH,SAN - SANDAKAN,,
6228,MASJID AL HIJRAH,KG. GANA KOTA MARUDU,SABAH,PBU - KOTA MARUDU,,
6229,MASJID Nor al-laily,Kampung shingkee bandar leila,SABAH,SAN - SANDAKAN,,
6230,Masjid darul ikhwan desa lestari kg. Suasa,Kg suasa Beaufort,SABAH,BPB - BEAUFORT,,
6231,Masjid kg teratak,Kg. Teratak Beaufort,SABAH,BPB - BEAUFORT,,
6232,Masjid tun juhar,"Pekan baru sukau, kg sukau kinabatangan",SABAH,SAN - KINABATANGAN,,
6233,Masjid al-khairat,"Kampung koyah b, paris 3 kinabatangan",SABAH,SAN - KINABATANGAN,,
6234,Masjid tuan hj. nik zawawi,"Kampung punting abai, tambunan.",SABAH,BPA - TAMBUNAN,,
6235,MASJID BAITUL JANNAH,KG SAMBAH,SABAH,PBS - TAMPARULI,,
6236,MASJID AL HIDAYAH,TOPOKON,SABAH,PBS - TAMPARULI,,
6237,MASJID AL QUDDUS,KG KIWOI,SABAH,PBS - TAMPARULI,,
6238,MASJID AL-AMIN KG.SERIGAI,,SABAH,PBS - PUTATAN,088-765996,
6239,MASJID AL-BAARI TAMAN KETIAU,,SABAH,PBS - PUTATAN,,
6240,MASJID AL-AMIN KG.SERIGAI,KG.SERIGAI PUTATAN,SABAH,PBS - PUTATAN,,
6241,masjid baitul salam,"D/a masjid baitul salam,kg pondoi,pej. Jheains pitas,peti surat 272,kota marudu,pekan pitas",SABAH,PBU - PITAS,,
6242,masjid nur amin,"D/a masjid nur amin,kg. Kusalid,pej. Jheains daerah pitas,peti surat 272,89108,kota marudu,pekan pitas.",SABAH,PBU - PITAS,,
6243,"MASJID AN NUR TAMAN PERUMAHAN LIMAUAN, PAPAR","D/A PEJABAT JHEAINS PAPAR, TINGKAT 1, BANGUNAN URUSETIA PEJABAT DAERAH PAPAR, 89600 PAPAR.",SABAH,PBS - PAPAR,,
6244,"MASJID NUR HIKMAH KG KUALA 2 KINARUT, PAPAR","D/A PEJABAT JHEAINS PAPAR, TINGKAT 1, BANGUNAN URUSETIA PEJABAT DAERAH PAPAR, 89600 PAPAR.",SABAH,PBS - PAPAR,,
6245,masjid shoutul iman,"D/a masjid shoutul iman,kg. Kalipuon,pej. Jheains daerah pitas,peti surat 272,89108,kota marudu,pekan pitas",SABAH,PBU - PITAS,,
6246,masjid kampung pinapak,"D/a masjid kampung pinapak,pej. Jheains daerah pitas,peti surat 272,89108,kota marudu,pekan pitas",SABAH,PBU - PITAS,,
6247,"masjid ar rahman, kampung salimpodon laut","D/a masjid ar rahman,kg salimpodon laut, pej. Jheains daerah pitas,peti surat 272,89108,kota marudu,pekan pitas",SABAH,PBU - PITAS,,
6248,masjid duyufur rahman,,SABAH,PBS - PUTATAN,,
6249,masjid at-taqwa,,SABAH,PBS - PENAMPANG,,
6250,masjid al-fattah,ipd polis penampang,SABAH,PBS - PENAMPANG,,
6251,masjid al-hidayah,"kg. borunuon, telipok, kota kinabalu",SABAH,PBS - KOTA KINABALU,,
6252,masjid baru sepanggar,"kg. lokkub, manggatal, kota kinabalu",SABAH,PBS - KOTA KINABALU,,
6253,masjid al-falah,"kepayan, kota kinabalu",SABAH,PBS - KOTA KINABALU,,
6254,"MASJID AN NUR KG KABANG, PAPAR","D/A PEJABAT JHEAINS PAPAR, TINGKAT 1, BANGUNAN URUSETIA PEJABAT DAERAH PAPAR, 89600 PAPAR.",SABAH,PBS - PAPAR,,
6255,MASJID KG.LITANG,"Kg.litang, kinabatangan",SABAH,SAN - KINABATANGAN,,
6256,MASJID AL-IKHWAN,JABATAN HAL EHWAL AGAMA ISLAM NEGERI SABAH BANDARAYA KOTA KINABALU,SABAH,PBS - KOTA KINABALU,088-241461,088-246727
6257,MASJID kuala bebang,"d/a pejabat jheains semporna, peti surat no. 172",SABAH,TAW - SEMPORNA,089-784051,089-784052
6258,masjid imam lauhari,"KG TAMPI TAMPI LAUHARI d/a pejabat jheains semporna, peti surat no.172,",SABAH,TAW - SEMPORNA,089-784051,089-784052
6259,masjid sulabayan Jaya,"d/a pejabat jheains semporna, peti surat no.172",SABAH,TAW - SEMPORNA,089-784051,089-784052
6260,Masjid AL-HALIM,"KG. BLOK F d/a pejabat jheains semporna, peti surat no.172",SABAH,TAW - SEMPORNA,089-784051,089-784052
6261,Masjid Al-Jannah,"kg kabimbangan d/a pejabat jheains semporna, Peti Surat no.172,",SABAH,TAW - SEMPORNA,089-784051,089-784052
6262,MASJID KG. SIPANGGAU,"d/a Pejabat jheains semporna, peti surat no.172,",SABAH,TAW - SEMPORNA,089-784051,089-784052
6263,MASJID AL HIDAYAH,KIULU,SABAH,PBS - TAMPARULI,,
6264,masjid darul taqwa,kg. sri aman perpaduan jalan silam,SABAH,TAW - LAHAD DATU,,
6265,MASJID NUR HIKMAH,"KAMPUNG. TRONGLIT, PULAU TIMBANG, SANDAKAN.",SABAH,SAN - SANDAKAN,,
6266,MASJID AL-BAROQ,"KAMPUNG KUALA GUM-GUM, PETI SURAT 384, SANDAKAN.",SABAH,SAN - SANDAKAN,,
6267,MASJID AL-BIRUNI,"INSTITUT LATIHAN PERINDUSTRIAN, JALAN SIBUGA BATU 5, SANDAKAN.",SABAH,SAN - SANDAKAN,,
6268,MASJID IKHWANUL MUSLIMIN,"HOSPITAL DUCHESS OF KENT, SANDKAN",SABAH,SAN - SANDAKAN,,
6269,MASJID NUR MUHAMMAD,ZON PEMBANGUNAN DANDULIT KAMPUNG DANDULIT,SABAH,SAN - SANDAKAN,,
6270,MASJID UBUDIAH,"MASJID UBUDIAH,PEKAN TAMPARULI",SABAH,PBS - TAMPARULI,,
6271,MASJID NUR HIKMAH,KAMPUNG TRONGLIT PULAU TINBANG,SABAH,SAN - SANDAKAN,,
6272,"MASJID AL-AQSA KG. KOBUNI, INANAM, KOTA KINABALU",JABATAN HAL EHWAL AGAMA ISLAM NEGERI SABAH BANDARAYA KOTA KINABALU,SABAH,PBS - KOTA KINABALU,088-241461,088-246727
6273,masjid al-aqsa,"kg kobuni, inanam, kota kinabalu",SABAH,PBS - KOTA KINABALU,,
6274,masjid raudah,"kg bandulan, manggatal, kota kinabalu",SABAH,PBS - KOTA KINABALU,,
6275,masjid al-ikhwan,"taman kuala manggatal, manggatal, kota kinabalu",SABAH,PBS - KOTA KINABALU,,
6276,masjid pekan manggatal,"pekan manggatal, kota kinabalu",SABAH,PBS - KOTA KINABALU,,
6277,masjid al-ikhwan,"Pelabuhan Sepangar (Teluk Sepangar) 88450 Kota Kinabalu, Sabah",SABAH,PBS - KOTA KINABALU,,
6278,masjid al-hashim,"kg pulau sepanggar, kota kinabalu",SABAH,PBS - KOTA KINABALU,,
6279,MASJID NURUL HIDAYAH KG. PERPADUAN 1,"KAMPUNG PERPADUAN RIA 1, 89058 DAERAH KUDAT.",SABAH,PBU - KUDAT,88621025,88621025
6280,MASJID AL-FALAH,"KG. MEMBALUA, BATU 10 JALAN APAS, TAWAU",SABAH,TAW - TAWAU,089-771027,
6281,MASJID NURUL AIN,"TAMAN RIA 9, JALAN UTARA BARU, TAWAU",SABAH,TAW - TAWAU,,
6282,MASJID AL-IKHLAS,"KG. SUNGAI UDIN PANGKALAN, JALAN MEROTAI - KALABAKAN, TAWAU",SABAH,TAW - TAWAU,,
6283,MASJID NURUD DAKWAH,"KG. RANCANGAN KIJANG, MEROTAI BESAR, TAWAU",SABAH,TAW - TAWAU,,
6284,MASJID AL-IKHLAS,"KG. PASIR PUTIH ASLI, JALAN SIN SAN, TAWAU",SABAH,TAW - TAWAU,,
6285,MASJID AL-MUQARRABAH,"KG. RANCANGAN KALABAKAN, TAWAU",SABAH,TAW - TAWAU,089-771027,
6286,MASJID AL-HIDAYAH 2,"KG. KINABUTAN LAUT, BATU 4 1/2 JALAN APAS, TAWAU",SABAH,TAW - TAWAU,089-771027,
6287,MASJID NURUL AWAL,"KG. SUNGAI APAS, JALAN APAS PARIT, TAWAU",SABAH,TAW - TAWAU,089-771027,
6288,MASJID AMAL MA'RUF,"KG. SENTOSA BLOK 4 HILL TOP, JALAN UTARA BARU, TAWAU",SABAH,TAW - TAWAU,089-771027,
6289,MASJID AT-TAQWA,"KG. BUKIT GEMUK, PASIR PUTIH, JALAN SIN SAN, TAWAU",SABAH,TAW - TAWAU,089-771027,
6290,MASJID NURUL IKHWAN,"KG. MANUSI, MEROTAI KECIL, TAWAU",SABAH,TAW - TAWAU,089-771027,
6291,masjid ar-rahmah,"kg. pangkalan asli merotai, merotai besar, tawau",SABAH,TAW - TAWAU,089-771027,
6292,masjid nurul huda,"kg. tanah merah, merotai besar, tawau",SABAH,TAW - TAWAU,089-771027,
6293,masjid kg. tinagat,"jalan apas laut/ jalan batu payung, tawau",SABAH,TAW - TAWAU,089-771027,
6294,masjid nurul ridwan,"kg. simpang 3 merotai besar, tawau",SABAH,TAW - TAWAU,089-771027,
6295,masjid al-abrar,"dumpas kem, jalan kalabakan",SABAH,TAW - TAWAU,089-771027,
6296,mASJID NURUL MUHAJIRIN,"KG. BRANTIAN, JALAN KALABAKAN, TAWAU",SABAH,TAW - TAWAU,089-771027,
6297,MASJID AT-TAQWA,"KG. TERASING, BATU 17 JALAN QUOIN HILL, TAWAU",SABAH,TAW - TAWAU,089-771027,
6298,MASJID NURUL HUDA,"KG. SRI MENANTI, TANJUNG BATU DARAT, TAWAU",SABAH,TAW - TAWAU,089-771027,
6299,MASJID AL-JIHAD,"SYARIKAT ATURMAJU, KG. RANCANGAN KALABAKAN, TAWAU",SABAH,TAW - TAWAU,089-771027,
6300,MASJID AL-FALAH,"SYARIKAT SAN BUMI KALABAKAN, KG. KALABAKAN, TAWAU",SABAH,TAW - TAWAU,089-771027,
6301,MASJID AL-FALAH,"KG. PASIR PUTIH BARU, JALAN SIN SAN, TAWAU",SABAH,TAW - TAWAU,089-771027,
6302,MASJID AL-NOOR IMAN,"KG. CHECK POINT TAWAU-SEMPORNA, TAWAU",SABAH,TAW - TAWAU,089-771027,
6303,MASJID BATU 18,"LADANG BORNEO SAMUDERA, TAWAU",SABAH,TAW - TAWAU,089-771027,
6304,MASJID AR-RAHMAH,"MAWANG KEM, JALAN LUASONG, TAWAU",SABAH,TAW - TAWAU,089-771027,
6305,MASJID NURUL HIDAYAH,"JAMBATAN PUTIH SIME DARBY, JALAN KUHARA, TAWAU",SABAH,TAW - TAWAU,089-771027,
6306,MASJID HJ. SALEH MUSLEH,"BATU 2 JALAN APAS, TAWAU",SABAH,TAW - TAWAU,089-771027,
6307,MASJID APAS KARIMON,"LADANG KAWA, HUP SENG BATU 21, TAWAU",SABAH,TAW - TAWAU,,
6308,MASJID KOMSA,"BATU 24 JALAN BUKIT QUION, TAWAU",SABAH,TAW - TAWAU,089-771027,
6309,MASJID NUR HIDAYAH,"LADANG MUIS MELEWAR MEROTAI, TAWAU",SABAH,TAW - TAWAU,089-771027,
6310,MASJID RAHMATULLAH,"BATU 3 JALAN APAS, TAWAU",SABAH,TAW - TAWAU,089-771027,
6311,MASJID NURRUSOLIHIN,"HENG ANN PLANTATION, KG. WALLACE BAY, PULAU SEBATIK, TAWAU",SABAH,TAW - TAWAU,089-771027,
6312,MASJID NURUSSAADAH,"KEM KABOTA, TAWAU",SABAH,TAW - TAWAU,089-771027,
6313,MASJID QUBA',"TAMAN WAWASAN, JALAN UTARA BARU, TAWAU",SABAH,TAW - TAWAU,089-771027,
6314,MASJID AL-AZHAR,"SEKOLAH AL-FALAH (YAYASAN AL-FALAH), kG. TANJUNG BATU DARAT, JALAN UTARA BARU, TAWAU",SABAH,TAW - TAWAU,089-771027,
6315,MASJID MAAHAD TAHFIZ SULAIMANIYYAH,"MAAHAD TAHFIZ SULAIMANIAH, JALAN PITAS BOMBALAI, TAWAU",SABAH,TAW - TAWAU,089-771027,
6316,MASJID UKHUWAH IMARAH,"TAMAN SEMARAK FASA 2A, JALAN KUHARA, TAWAU",SABAH,TAW - TAWAU,089-771027,
6317,MASJID AZ-ZAEEMAH,"BANDAR SERI INDAH, TAWAU",SABAH,TAW - TAWAU,089-771027,
6318,MASJID ABU BAKAR AS-SIDDIQ,"TAMAN PO HING, JALAN BATU SAPI, SANDAKAN",SABAH,SAN - SANDAKAN,,
6319,MASJID NURUL AWAL,"Kg.kuala apas, Jalan apas parit, Tawau",SABAH,TAW - TAWAU,089-771027,
6320,Masjid as-SALAM,"Mini estate sejahtera (mesej), Rancangan sungai laba, Pulau sebatik",SABAH,TAW - TAWAU,089-771027,
6321,Masjid as-SALAM,"Ibu pejabat polis daerah tawau, Jalan tanjung batu, Tawau",SABAH,TAW - TAWAU,089-771027,
6322,MASJID AR-RAUDAH,"Sekolah menengah kebangsaan jambatan putih, Jalan timur, Peti surat 60917, 91010 Tawau",SABAH,TAW - TAWAU,089-712603,089-712603
6323,Masjid an-nuR,"Km 36, jalan balung, Beg berkunci no. 27, 91009 Tawau",SABAH,TAW - TAWAU,089-213814,
6324,MASJID AL- FATTAH,"Kg. Simpang 3 merotai besar, Tawau",SABAH,TAW - TAWAU,089-771027,
6325,Masjid ABDULLAH,"Batu 8 jalan tiku, Tawau",SABAH,TAW - TAWAU,089-771027,
6326,Masjid BABUSSALAM,"Taman sri balung, Tawau",SABAH,TAW - TAWAU,089-771027,
6327,MASJID BUKIT PIATU,KG BUKIT PIATU,PAHANG,BENTONG,,
6328,"MASJID AL-MAKMUR, TAMAN DESA DAMAI","surau taman DESA DAMAI, bentong",PAHANG,BENTONG,,
6329,masjid tengku abdullah al haj kg gali tengah,kg gali tengah,PAHANG,RAUB,,
6330,MASJID DARUL HIDAYAH,KAMPUNG SERUYUK SEBUYAU,SARAWAK,SIMUNJAN,,
6331,Masjid Hayatul Islam,KAMPUNG LUBOK PUNGGUR SIMUNJAN,SARAWAK,SIMUNJAN,,
6332,MASJID AN-NUR TEMASYA GLANMARIE,JALAN USAHAWAN U1/8 GLANMARIE 40150 SHAH ALAM,SELANGOR,PETALING,,
6333,MASJID KAMPUNG SRI AMAN,JALAN AMAN KG SRI AMAN 47100 PUCHONG,SELANGOR,PETALING,,
6334,MASJID AS-SHARIF,TAMAN SUNGAI BESI INDAH 43300 SERI KEMBANGAN,SELANGOR,PETALING,,
6335,MASJID HOSPITAL SUNGAI BULOH,"MASJID HOSPITAL SUNGAI BULOH JALAN HOSPITAL, 47000 SUNGAI BULOH SELANGOR",SELANGOR,GOMBAK,03-61454333,03-61454222
6336,MASJID HOSPITAL SUNGAI BULOH,JALAN HOSPITAL 47000 SUNGAI BULOH SELANGOR,SELANGOR,GOMBAK,03-61454333,03-61454222
6337,MASJID TUN TEJA RAWANG,"PERSIARAN TUN TEJA 2, 48000 RAWANG SELANGOR",SELANGOR,GOMBAK,,
6338,MASJID TAMAN UKAY PERDANA,"UKAY PERDANA, HULU KELANG, SELANGOR",SELANGOR,GOMBAK,,
6339,"MASJID DIRAJA SULTAN ALAEDIN, KG BANDAR","KG BANDAR, 42700 BANTING",SELANGOR,KUALA LANGAT,,
6340,MASJID MUHAMMADI,"JALAN PANTAI, ANGKASAPURI",W.P. KUALA LUMPUR,ZON 6,,
6341,MASJID MUHAMMADI,"JALAN PANTAI, ANGKASAPURI",W.P. KUALA LUMPUR,ZON 6,,
6342,MASJID MUHAMMADI,,W.P. KUALA LUMPUR,ZON 6,,
6343,MASJID MUHAMMADI,JALAN PANTAI ANGKASAPURI,W.P. KUALA LUMPUR,ZON 6,,
6344,MASJID DIRAJA SULTAN SULEIMAN,"JALAN KOTA RAJA, 41000, KLANG",SELANGOR,KLANG,333743391,333743391
6345,MASJID SULTAN ABDUL AZIZ,"KAMPUNG PERIGI NENAS, PULAU INDAH, 42920 PELABUHAN KLANG",SELANGOR,KLANG,03-31012154,
6346,MASJID BANDAR DIRAJA KLANG,"JALAN PASAR, 41400 KLANG",SELANGOR,KLANG,0333588746/013-,03-33588746
6347,MASJID ALAM IMPIAN,"No. 2, Jalan Tun Teja 35/1 Alam Impian, Seksyen 35 Shah Alam Selangor 40470",SELANGOR,KLANG,013-9766224,
6348,"Masjid Darul Ibadah, Kampung Stoh","Kampung Stoh,Lundu",SARAWAK,LUNDU,,
6349,"MASJID NOORUL ISLAM, SEMATAN(BARU)",Daerah Kecil Sematan,SARAWAK,LUNDU,,
6350,"MASJID NOORUL ISLAM TANAH HITAM, SEMATAN(LAMA)",Kampung Tanah Hitam Daerah Kecil Sematan,SARAWAK,LUNDU,,
6351,"MASJID NURUL NAIM, KAMPUNG TELOK MELANO","Kampung Telok Melano, Lundu",SARAWAK,LUNDU,,
6352,"MASJID PUNCAK TAQWA, PEKAN BARU KINARUT","D/A PEJABAT JHEAINS PAPAR, TINGKAT 1, BANGUNAN URUSETIA PEJABAT DAERAH PAPAR, 89600 PAPAR.",SABAH,PBS - PAPAR,,
6353,MASJID AS-SOHABAH,TAMAN PERMATA BATU 8,SABAH,SAN - SANDAKAN,,
6354,MASJID SAIDINA ABU BAKAR AS-SIDDIQ,TAMAN POHING,SABAH,SAN - SANDAKAN,,
6355,MASJID RAUDHATUL JANNAH,KOMPLEKS JERAGAN BISTARI FELDA SAHABAT,SABAH,TAW - TUNGKU,,
6356,Masjid Bandaraya Kota Kinabalu,"Jln Pasir, Teluk Likas 89400, Kota Kinabalu",SABAH,PBS - KOTA KINABALU,,
6357,Masjid Pekan Manggatal,"Jalan Pulutan, Menggatal, 88820 Kota Kinabalu, Sabah",SABAH,PBS - KOTA KINABALU,,
6358,"Masjid Institut Aminuddin Baki, Kota Kinabalu","1 AB, Jalan Tuaran By-Pass, Bandar Putra, 88450 Kota Kinabalu, Sabah",SABAH,PBS - KOTA KINABALU,,
6359,"Masjid Institut Aminuddin Baki, Kota Kinabalu","1 AB, Jalan Tuaran By-Pass, Bandar Putra, 88450 Kota Kinabalu, Sabah",SABAH,PBS - KOTA KINABALU,,
6360,Masjid Raudah Kg. Bandulan,"Kg Bandulan, Jalan Sepanggar 88450, Manggatal, Kota Kinabalu, Sabah",SABAH,PBS - KOTA KINABALU,,
6361,Masjid Al-Ikhwan Taman Kuala Manggatal,"No.9, Lorong 13, Taman Kuala Manggatal, Manggatal",SABAH,PBS - KOTA KINABALU,,
6362,Masjid Universiti Malaysia Sabah,"Universiti Malaysia Sabah, jln UMS, 88840 Kota Kinabalu",SABAH,PBS - KOTA KINABALU,,
6363,Masjid Al-Ihwan Sabah Ports,"Sepanggar Bay, 88450 Kota Kinabalu, Sabah",SABAH,PBS - KOTA KINABALU,,
6364,Masjid Universiti Teknologi Mara (UiTM),"Jalan Universiti, 89200 Kota Kinabalu, Sabah",SABAH,PBS - KOTA KINABALU,,
6365,"Masjid Institut Aminuddin Baki, Kota Kinabalu",,SABAH,PBS - KOTA KINABALU,,
6366,MASJID LADANG BUKIT PUTERI,"LADANG BUKIT PUTERI, BEG BERKUNCI NO.727650, RAUB, PAHANG",PAHANG,LIPIS,195175981,
6367,MASJID FELDA KERATONG 02,"FELDA KERATONG 2, 26700 MUADZAM SHAH PAHANG DARUL MAKMUR.",PAHANG,MUADZAM SHAH,,
6368,MASJID FELDA KERATONG 03,FELDA KERATONG 3,PAHANG,MUADZAM SHAH,,
6369,MASJID FELDA KERATONG 04,FELDA KERATONG 4,PAHANG,MUADZAM SHAH,,
6370,MASJID FELDA KERATONG 05,"FELDA KERATONG 5, 26700 MUADZAM SHAH, PAHANG DARUL MAKMUR.",PAHANG,MUADZAM SHAH,,
6371,MASJID FELDA KERATONG 06,"FELDA KERATONG 6, 26700 MUADZAM SHAH ,PAHANG DARUL MAKMUR.",PAHANG,MUADZAM SHAH,,
6372,MASJID FELDA KERATONG 07,"FELDA KERATONG 7, 26700 MUADZAM SHAH, PAHANG DARUL MAKMUR.",PAHANG,MUADZAM SHAH,,
6373,MASJID FELDA KERATONG 08,"FELDA KERATONG 8, 26700, MUADZAM SHAH , PAHANG DARUL MAKMUR.",PAHANG,MUADZAM SHAH,,
6374,MASJID KERATONG 09,"KERATONG 9, 26700 MUADZAM SHAH PAHANG DARUL MAKMUR",PAHANG,MUADZAM SHAH,,
6375,MASJID FELDA KERATONG 10,"FELDA KERATONG 10, 26700 MUADZAM SHAH, PAHANG DARUL MAKMUR.",PAHANG,MUADZAM SHAH,,
6376,MASJID FELDA SELANCAR 01,"FELDA SELANCAR 01, 26700 MUADZAM SHAH PAHANG DARUL MAKMUR.",PAHANG,MUADZAM SHAH,,
6377,MASJID FELDA SELANCAR 02,"FELDA SELANCAR 2, 26700 MUADZAM SHAH , PAHANG DARUL MAKMUR.",PAHANG,MUADZAM SHAH,,
6378,MASJID FELDA SELANCAR 03,"FELDA SELANCAR 3, 26700 MUADZAM SHAH , PAHANG DARUL MAKMUR.",PAHANG,MUADZAM SHAH,,
6379,MASJID FELDA SELANCAR 04/05,"FELDA SELANCAR 4, 26700 MUADZAM SHAH PAHANG DARUL MAKMUR.",PAHANG,MUADZAM SHAH,,
6380,MASJID KG AUR,"BUKIT IBAM, 26700 MUADZAM SHAH, PAHANG DARUL MAKMUR.",PAHANG,MUADZAM SHAH,,
6381,MASJID KAMPUNG REKOH,"KAMPUNG REKOH, 26700 MUADZAM SHAH, PAHANG DARUL MAKMUR.",PAHANG,MUADZAM SHAH,,
6382,MASJID KAMPUNG LUBUK BATU,"KAMPUNG LUBUK BATU, 26700 MUADZAM SHAH, PAHANG DARUL MAKMUR.",PAHANG,MUADZAM SHAH,,
